Date,Open,High,Low,Close,Adj Close,Volume,
1/03/1986,0.088542,0.103299,0.088542,0.095486,0.069,1857052800,x
1/04/1986,0.095486,0.121962,0.092882,0.111979,0.080919,547142400,
1/05/1986,0.111979,0.123264,0.107639,0.121528,0.087819,333446400,
1/06/1986,0.121528,0.121528,0.102431,0.106771,0.077155,293788800,
1/07/1986,0.106771,0.109375,0.090278,0.098958,0.071509,460800000,
1/08/1986,0.098958,0.106771,0.094618,0.098958,0.071509,266256000,
1/09/1986,0.098958,0.109375,0.091146,0.09809,0.070882,285120000,
1/10/1986,0.09809,0.139757,0.095486,0.134549,0.097228,1565712000,
1/11/1986,0.135417,0.177951,0.135417,0.172743,0.124828,1053964800,
1/12/1986,0.172743,0.173611,0.157118,0.167535,0.121064,721526400,
1/01/1987,0.167535,0.269097,0.164931,0.253906,0.183478,1961596800,
1/02/1987,0.253906,0.276042,0.230903,0.266493,0.192574,1834272000,
1/03/1987,0.266493,0.34375,0.255208,0.335938,0.242756,1783324800,
1/04/1987,0.335938,0.378472,0.314236,0.361111,0.260947,2118585600,
1/05/1987,0.361111,0.445313,0.356771,0.400174,0.289174,2192054400,
1/06/1987,0.400174,0.400174,0.334201,0.354167,0.255929,1729353600,
1/07/1987,0.353299,0.367188,0.307292,0.326389,0.235856,1813536000,
1/08/1987,0.326389,0.421007,0.31684,0.412326,0.297956,2034921600,
1/09/1987,0.409722,0.462674,0.368056,0.460069,0.332456,1554902400,
1/10/1987,0.460069,0.550347,0.258681,0.345486,0.249656,3567219200,
1/11/1987,0.342014,0.361111,0.28125,0.310764,0.224565,1550172800,
1/12/1987,0.309028,0.388889,0.277778,0.376736,0.272238,1780182400,
1/01/1988,0.380208,0.428819,0.364583,0.387153,0.279765,1966780800,
1/02/1988,0.394097,0.421875,0.345486,0.412326,0.297956,1403884800,
1/03/1988,0.414931,0.454861,0.376736,0.392361,0.283529,2113660800,
1/04/1988,0.388889,0.407986,0.366319,0.378472,0.273492,1155084800,
1/05/1988,0.378472,0.411458,0.371528,0.402778,0.291056,1032995200,
1/06/1988,0.404514,0.46875,0.401042,0.465278,0.33622,1198579200,
1/07/1988,0.465278,0.489583,0.394097,0.413194,0.298583,1401097600,
1/08/1988,0.414931,0.416667,0.331597,0.347222,0.25091,1862576000,
1/09/1988,0.34375,0.383681,0.333333,0.362847,0.262201,1216566400,
1/10/1988,0.355903,0.375,0.331597,0.340278,0.245892,1532086400,
1/11/1988,0.340278,0.350694,0.314236,0.328125,0.23711,1558912000,
1/12/1988,0.329861,0.376736,0.326389,0.369792,0.26722,1030441600,
1/01/1989,0.371528,0.418403,0.348958,0.414063,0.299211,1375062400,
1/02/1989,0.413194,0.449653,0.40625,0.413194,0.298583,1802134400,
1/03/1989,0.416667,0.432292,0.317708,0.346354,0.250283,3058688000,
1/04/1989,0.347222,0.392361,0.329861,0.388021,0.280392,1134803200,
1/05/1989,0.384549,0.423611,0.354167,0.420139,0.303602,1258956800,
1/06/1989,0.418403,0.421875,0.355903,0.368056,0.265965,1072560000,
1/07/1989,0.368924,0.395833,0.357639,0.380208,0.274747,1221004800,
1/08/1989,0.380208,0.420139,0.375,0.407986,0.29482,1380710400,
1/09/1989,0.409722,0.482639,0.401042,0.475694,0.343747,1284505600,
1/10/1989,0.473958,0.597222,0.472222,0.567708,0.410239,2608976000,
1/11/1989,0.567708,0.619792,0.527778,0.604167,0.436584,1835852800,
1/12/1989,0.605035,0.612847,0.520833,0.604167,0.436584,1460649600,
1/01/1990,0.605903,0.666667,0.583333,0.642361,0.464184,2380947200,
1/02/1990,0.642361,0.697917,0.640625,0.685764,0.495548,1429331200,
1/03/1990,0.684028,0.8125,0.684028,0.769097,0.555767,1717801600,
1/04/1990,0.762153,0.875,0.758681,0.805556,0.582112,1200806400,
1/05/1990,0.815972,1.09375,0.788194,1.013889,0.732658,1634729600,
1/06/1990,1.017361,1.079861,0.986111,1.055556,0.762768,1165913600,
1/07/1990,1.055556,1.121528,0.913194,0.923611,0.667422,1548944000,
1/08/1990,0.920139,0.934028,0.704861,0.854167,0.61724,1983792000,
1/09/1990,0.847222,0.881944,0.756944,0.875,0.632294,1270809600,
1/10/1990,0.899306,0.951389,0.743056,0.885417,0.639822,2198080000,
1/11/1990,0.875,1.03125,0.871528,1.003472,0.725131,1253123200,
1/12/1990,1.017361,1.065972,0.979167,1.045139,0.75524,959971200,
1/01/1991,1.041667,1.381944,1.013889,1.362847,0.984823,2219728000,
1/02/1991,1.375,1.513889,1.350694,1.440972,1.041278,1781539200,
1/03/1991,1.430556,1.569444,1.291667,1.473958,1.065115,1932505600,
1/04/1991,1.472222,1.631944,1.333333,1.375,0.993605,1985737600,
1/05/1991,1.368056,1.5625,1.342014,1.524306,1.101497,1462662400,
1/06/1991,1.520833,1.59375,1.354167,1.419271,1.025596,1295366400,
1/07/1991,1.432292,1.541667,1.260417,1.53125,1.106515,1587264000,
1/08/1991,1.536458,1.807292,1.494792,1.776042,1.283407,1281145600,
1/09/1991,1.770833,1.875,1.666667,1.854167,1.339862,834064000,
1/10/1991,1.854167,1.984375,1.796875,1.955729,1.413253,1061907200,
1/11/1991,1.947917,2.119792,1.890625,2.026042,1.464062,887222400,
1/12/1991,2.005208,2.333333,2,2.317708,1.674827,808755200,
1/01/1992,2.307292,2.776042,2.28125,2.505208,1.810319,1468918400,
1/02/1992,2.463542,2.6875,2.354167,2.572917,1.859247,1394012800,
1/03/1992,2.578125,2.713542,2.432292,2.46875,1.783973,1204256000,
1/04/1992,2.442708,2.692708,2.229167,2.296875,1.659772,2138947200,
1/05/1992,2.302083,2.546875,2.276042,2.520833,1.82161,1069219200,
1/06/1992,2.510417,2.59375,2.054688,2.1875,1.580736,1576790400,
1/07/1992,2.195313,2.335938,2.046875,2.273438,1.642836,1245196800,
1/08/1992,2.273438,2.34375,2.125,2.328125,1.682354,889324800,
1/09/1992,2.3125,2.5625,2.289063,2.515625,1.817846,1002921600,
1/10/1992,2.5,2.820313,2.367188,2.773438,2.004147,1146720000,
1/11/1992,2.78125,2.96875,2.726563,2.910156,2.102943,1227161600,
1/12/1992,2.898438,2.9375,2.664063,2.667969,1.927933,1133328000,
1/01/1993,2.65625,2.9375,2.640625,2.703125,1.953337,1411331200,
1/02/1993,2.695313,2.820313,2.398438,2.605469,1.88277,1548342400,
1/03/1993,2.617188,2.945313,2.539063,2.890625,2.08883,1197958400,
1/04/1993,2.890625,2.960938,2.492188,2.671875,1.930756,1298633600,
1/05/1993,2.671875,2.984375,2.640625,2.894531,2.091653,1304448000,
1/06/1993,2.90625,3.0625,2.710938,2.75,1.987211,1216211200,
1/07/1993,2.757813,2.765625,2.25,2.3125,1.671064,1953414400,
1/08/1993,2.335938,2.476563,2.199219,2.347656,1.696468,1871481600,
1/09/1993,2.351563,2.632813,2.289063,2.578125,1.86301,1162460800,
1/10/1993,2.578125,2.679688,2.4375,2.503906,1.809378,1370752000,
1/11/1993,2.507813,2.59375,2.375,2.5,1.806555,966515200,
1/12/1993,2.515625,2.703125,2.476563,2.519531,1.820668,934784000,
1/01/1994,2.515625,2.71875,2.476563,2.660156,1.922288,1233651200,
1/02/1994,2.65625,2.679688,2.4375,2.578125,1.86301,1368720000,
1/03/1994,2.59375,2.789063,2.492188,2.648438,1.913819,1377510400,
1/04/1994,2.578125,2.976563,2.5625,2.890625,2.08883,1871520000,
1/05/1994,2.898438,3.36035,2.839844,3.359375,2.427558,1629892800,
1/06/1994,3.34375,3.414063,3.078125,3.226563,2.331585,2439195200,
1/07/1994,3.226563,3.234375,2.929688,3.21875,2.32594,1527966400,
1/08/1994,3.226563,3.703125,3.21875,3.632813,2.62515,1290998400,
